REFCODE,M_1,M_2,K_0_1,K_0_2,DeltaH,r2,iso_enth,p_thres
VEHPUU_clean,2.2628271547787695,4.7089855770708855,3.2558866265804263e-08,7.106775290295104e-08,-37290.20066451299,0.998227744997127,-39193.02170976746,12
VICDOC_clean,3.8041731729299144,4.464003037685654,1.9121755877815318e-07,1.2318218524954244e-05,-34767.9314720274,0.9986654200633416,-37799.24302901334,4
VEHRIL_clean,4.591593581880028,10.983169179664698,1014156021949.3772,4.621297463523218e-06,-28660.091074673895,0.966153879201868,-28847.047724036765,12
VETTOE_clean,3.5360255744731206,11.1405857831423,0.000229609666416,3.4444626394052404e-06,-32756.50847322232,0.9974680482087104,-31528.193689477408,2
VEMMAC_clean,4.883459037911069,11.87378526850854,2.246812660944371e-06,2.7929098924340145e-05,-27969.122165238543,0.998397185977914,-28631.491361328284,12
VEMMEG_clean,5.091176041910726,12.299054500684264,2.878422875338632e-06,6.330602001087165e-06,-31329.366851056908,0.9997755839255864,-30826.323985522693,4
VEQBID_clean,-0.5412493216516636,5.612545332974881,-2252051.3458551425,3.190285320575175e-05,-33693.16265367741,0.9374082558894284,-42451.40912363459,2
VICYUD_clean,3.274170191908498,6.190340561856268,2.0216702677668226e-07,1.0288052631986951e-05,-34930.58522368391,0.9939670588390864,1.0,20
VEXVAW_clean,6.311575217565763,13.086012030912473,4.610546337855618e-06,4.610624339379323e-06,-27963.20073947647,0.992665458900946,-26756.81822959041,20
VIDXOX_clean,2.5228568654472423,4.111376491181672,2.92525751871983e-06,6.277099590033294e-05,-33574.34663229161,0.978013345040193,-39876.89181912189,4
VILXOE_clean,1.9380593608509096,4.265056925255177,4.383707426072304e-08,1.7976641812862882e-06,-39709.020205210574,0.9997284474289644,-36405.035288954015,2
VIPYOK_clean,0.7731232209966236,2.985700400108509,1640211649210.393,0.000109583470913,-31198.748912374507,0.8453143408568424,-31198.748912374507,20
VIRPOC_clean,1.912884417517596,6.421258444518259,3.4757112546540026e-06,3.851935998909269e-06,-31071.992367354105,0.9958671270351976,-31100.51109503404,20
VIGNOQ_clean,2.093863704293359,5.113493823439381,5.26681361210665e-06,5.266455881590439e-06,-27468.293132126764,0.9941799134651244,-27512.09431650246,20
VISTOG_clean,1.365473217093839,2.630504500729286,35713.40106673515,6.704884331566286e-08,-35520.079608479515,0.9929281751438038,-34450.073776711084,8
VIZRIH_clean,1.0072760566531314,1.0456350421602814,1.84343722281934e-06,3.686839786966093e-05,-28202.41568095731,0.9982449629472296,-31643.382523162974,8
VIZQEC_clean,1.7984863024161486,4.106442519807852,1.3340467876500913e-07,1.0286779111235123e-05,-38083.20072371384,0.9905670936679644,1.0,8
VONBIK_clean,1.647076924927121,2.237535720064609,2.3928825779437074e-08,3.7852283027409393e-06,-38349.153609177505,0.9933435600457856,-36163.710557541344,20
VODQIP_clean,5.862493155516228,6.4089238232054475,3.525145366658525e-05,0.003162321347268,-22062.590208671376,0.9820834532974684,-32799.94334449289,20
VIXCUB_clean,0.8128478744493116,8.526152299018449,-74117.75007473966,1.971375414890693e-06,-33001.42330542685,0.9540715090571612,-32818.607488333175,8
VONBUW_clean,0.7065731093454792,1.5547354711212578,6.504302833248868e-08,1.6529645591609985e-06,-40333.80739196687,0.9963830502826462,-39782.26089926951,4
VUDQOB_clean,2.453994127925107,4.204720151729126,7.547108705821443e-07,1.665560971192969e-06,-36360.53523039946,0.997093438175751,-37026.76246827906,4
VOCXUH_clean,2.2702771324203956,15.104238113055372,-24772.55281735954,1.2691036343777755e-06,-33698.52024812486,0.978859502033636,-30365.65619805055,12
VULKIX_clean,3.074738101068155,3.761471810768376,1.7577429090512685e-05,0.0009446120731326,-24784.073449256794,0.966336077573571,-34544.1479280863,20
VULKOD_clean,1.9014760366020704,2.699659007786744,2.831971583588588e-08,9.478042490429468e-07,-41038.97629550241,0.998763795917276,-40158.183900382224,4
VIRVEY_clean,-0.1364987593809686,12.489353806462429,-429814.1921495654,1.9208824097329148e-05,-26572.940868026955,0.9629099960855556,-25350.754828885485,12
VUQJUN_clean,9.714976683528242,9.185150022997114,2.276786820950528e-06,4.28765106233078e-05,-27189.240554346583,0.9933401655403136,-28504.45609589859,20
VUQKOI_clean,1.371147985539909,3.4646119092943617,3.900780000536572e-05,4.0644364354829835e-05,-25340.235350947027,0.9997055461923322,-7186.517806525157,2
VUQJUN01_clean,9.64353540203298,9.748174887890276,2.3375984030828857e-06,4.004262870847517e-05,-26882.38783932699,0.9932455185085278,-28861.14702985201,20
